calories,fat,carbs,protein,cholesterol,sodium,prep_time,made_it,number_of_rating,rating_score,num_reviews,photos
485.0,22.3,32.7,36.6,161.0,926.0,145.0,116,53.0,4.75,41,15
64.0,1.7,11.0,1.7,6.0,27.0,10.0,27,24.0,3.5,19,3
718.0,22.4,85.9,18.4,66.0,369.0,5.0,9,7.0,4.57,7,6
401.0,4.9,49.2,0.8,0.27797073087139645,14.0,5.0,21,,5.0,7,7
725.0,29.3,76.9,12.2,37.0,168.0,20.0,14,,5.0,9,8
602.0,21.8,80.6,4.7,0.0,175.0,10.0,7,,4.78,8,8
296.0,3.6,39.0,2.1,0.0,165.0,5.0,21,10.0,4.6,7,5
494.0,1.2,79.5,1.3,0.0,84.0,10.0,31,11.0,4.0,8,5
537.0,12.4,69.8,10.1,41.0,164.0,,34,,4.96,18,13
519.0,29.1,63.1,7.6,21.0,261.0,75.0,33,17.0,4.65,14,6
800.0,50.4,59.5,10.7,305.0,350.0,11.0,35,15.0,4.2,10,8
,,,,,,90.0,272,156.0,4.65,113,7
395.0,0.4,58.4,0.8,0.0,20.0,135.0,65,,4.97,27,2
150.0,0.3,18.5,0.6,0.0,10.0,20.0,13,6.0,4.33,6,1
376.0,0.2,40.9,0.7,0.0,24.0,510.0,221,66.0,4.88,47,6
,,,,,,10.0,70,71.0,4.58,59,2
,,,,,,5.0,799,645.0,4.79,498,32
,,,,,,15.0,37,36.0,4.56,31,1
,,,,,,5.0,37,24.0,4.71,24,4
,,,,,,5.0,11,,4.67,8,1
,,,,,,7.0,15,,4.82,10,1
,,,,,,10.0,12,,4.82,6,1
,,,,,,1445.0,49,30.0,4.5,26,3
,,,,,,5.0,67,50.0,4.8,36,2
,,,,,,2.0,22,20.0,4.1,20,1
,,,,,,,7,,4.0,4,2
,,,,,,5.0,19,16.0,4.69,14,1
,,,,,,1.0,42,31.0,3.94,25,1
,,,,,,10.0,63,67.0,4.55,56,3
,,,,,,10.0,191,177.0,4.67,145,4
,,,,,,5.0,1000,1199.0,4.76,947,39
377.0,0.2,58.5,0.6,0.0,332.0,130.0,47,,4.56,6,3
557.0,36.8,49.4,9.8,205.0,406.0,60.0,894,352.0,4.78,248,95
235.0,0.2,29.4,0.6,0.0,6.0,10.0,58,,4.87,25,11
,,,,,,5.0,40,44.0,4.68,35,1
,,,,,,1460.0,53,50.0,4.24,45,2
,,,,,,10.0,454,314.0,4.78,247,12
,,,,,,10.0,23,,4.68,15,3
,,,,,,5.0,20,13.0,4.31,12,1
,,,,,,10.0,81,85.0,4.6,57,3
,,,,,,140.0,160,126.0,4.56,96,5
,,,,,,10.0,27,25.0,4.56,23,1
,,,,,,10.0,86,63.0,4.68,49,6
,,,,,,30.0,2000,1732.0,4.82,1280,82
,,,,,,10.0,75,,4.89,42,2
100.0,1.9,19.5,1.8,0.27797073087139645,28.0,32.0,1000,1026.0,4.75,872,30
118.0,0.0,30.3,0.0,0.0,9.0,35.0,140,156.0,4.58,135,6
174.0,4.5,30.5,4.3,17.0,72.0,10.0,6,,3.17,3,2
179.0,7.3,22.6,6.5,27.0,106.0,25.0,19,,5.0,7,2
129.0,0.1,32.8,0.4,0.0,8.0,35.0,6,,4.5,1,2
188.0,0.2,48.0,1.6,0.0,3.0,,12,8.0,3.13,6,2
143.0,0.2,36.2,0.6,0.0,9.0,30.0,25,,4.94,14,2
32.0,0.0,8.4,0.1,0.0,0.7014857369650614,10.0,68,55.0,4.75,44,4
39.0,0.0,9.9,0.1,0.0,2.0,10.0,113,68.0,4.63,55,3
116.0,0.2,29.2,1.1,0.0,11.0,,47,42.0,4.4,35,1
143.0,0.2,36.6,0.5,0.0,7.0,520.0,14,17.0,4.53,13,2
140.0,0.2,36.8,0.6,0.0,10.0,90.0,115,57.0,4.67,45,2
91.0,0.0,23.7,0.1,0.0,1.0,5.0,32,28.0,4.54,17,3
101.0,0.0,26.3,0.1,0.0,7.0,10.0,99,77.0,4.52,59,3
102.0,0.0,26.4,0.0,0.0,2.0,10.0,268,125.0,4.63,101,7
,,,,,,388.0,1000,1082.0,4.72,875,56
1106.0,3.7,241.9,3.2,10.0,34.0,35.0,22,,5.0,1,1
34.0,0.0,8.5,0.1,0.0,0.7014857369650614,5770.0,21,,4.83,4,4
20.0,0.1,4.8,0.2,0.0,2.0,1475.0,107,68.0,4.57,57,17
165.0,0.1,11.2,0.5,0.0,2.0,5.0,6,,3.5,2,1
318.0,9.1,58.4,2.7,23.0,253.0,45.0,1000,1027.0,4.74,797,182
287.0,0.0,9.9,0.3,0.0,9.0,3.0,22,15.0,4.6,13,4
,,,,,,5.0,153,87.0,4.6,70,12
,,,,,,5.0,358,115.0,4.58,84,15
542.0,46.2,33.1,7.2,0.0,254.0,80.0,48,33.0,4.21,20,3
,,,,,,19.0,6,,4.0,4,2
179.0,0.1,46.9,0.5,0.0,34.0,85.0,6,,5.0,2,1
178.0,0.1,27.2,0.2,0.0,6.0,75.0,10,,4.57,6,5
158.0,0.0,7.6,0.2,0.0,9.0,3.0,10,,4.33,4,1
347.0,0.4,40.7,0.9,0.0,10.0,10.0,21,,4.78,8,2
213.0,0.1,13.1,0.1,0.0,10.0,3.0,8,,4.83,4,1
182.0,2.8,21.5,0.2,10.0,4.0,5.0,27,,4.78,4,4
,,,,,,5.0,70,42.0,4.48,35,6
245.0,0.1,27.1,0.3,0.0,11.0,5.0,19,,5.0,8,5
,,,,,,5.0,23,17.0,4.76,17,5
365.0,8.0,36.5,7.9,24.0,98.0,,38,37.0,4.38,29,3
,,,,,,90.0,139,74.0,4.41,60,3
269.0,14.7,32.1,2.9,55.0,270.0,530.0,150,105.0,4.71,81,28
537.0,36.1,50.5,6.3,221.0,293.0,40.0,260,88.0,4.77,68,45
317.0,16.3,45.0,3.3,0.0,9.0,15.0,15,,4.67,3,2
554.0,19.4,92.8,8.4,0.27797073087139645,387.0,60.0,14,,3.2,5,5
359.0,14.1,56.4,5.7,32.0,353.0,60.0,45,23.0,4.52,17,7
108.0,0.1,27.4,0.6,0.0,25.0,500.0,1000,1407.0,4.85,1118,33
117.0,0.1,29.2,0.9,0.0,33.0,255.0,16,,4.83,6,4
155.0,0.1,39.5,0.2,0.0,22.0,65.0,10,,5.0,2,0
193.0,0.1,41.7,0.6,0.0,14.0,25.0,62,53.0,4.68,47,3
,,,,,,490.0,16,20.0,4.55,17,1
,,,,,,765.0,47,,4.76,30,3
191.0,0.1,48.7,0.7,0.0,26.0,143.0,6,,4.5,2,1
61.0,0.1,15.1,0.2,0.0,6.0,5.0,6,,2.5,1,1
103.0,0.1,25.9,0.5,0.0,9.0,15.0,84,81.0,4.84,69,1
,,,,,,15.0,57,50.0,4.68,41,1
,,,,,,1450.0,133,91.0,4.65,67,2
,,,,,,5.0,12,,5.0,9,1
284.0,3.7,52.1,12.8,0.27797073087139645,332.0,16.0,10,,5.0,3,2
,,,,,,1.0,7,7.0,4.14,7,1
,,,,,,15.0,13,12.0,4.33,10,2
,,,,,,30.0,66,,4.91,29,1
,,,,,,490.0,15,,4.85,12,1
,,,,,,10.0,57,,4.9,37,3
,,,,,,5.0,62,,4.88,19,2
130.0,0.1,32.6,0.5,0.0,34.0,195.0,81,67.0,4.72,58,2
55.0,0.1,14.0,0.1,0.0,16.0,10.0,33,31.0,4.35,25,1
,,,,,,5.0,198,188.0,4.85,151,3
,,,,,,5.0,41,,4.75,30,2
,,,,,,10.0,30,30.0,4.57,26,2
37.0,0.0,9.5,0.0,0.0,5.0,15.0,49,48.0,4.67,42,1
118.0,0.0,30.0,0.2,0.0,14.0,10.0,64,74.0,4.66,57,1
,,,,,,10.0,110,78.0,4.67,64,4
246.0,1.9,57.8,1.3,5.0,68.0,10.0,66,,4.83,21,1
74.0,0.0,17.7,0.1,0.0,19.0,5.0,9,,3.0,0,1
137.0,0.1,34.4,0.2,0.0,10.0,10.0,12,,4.57,5,2
118.0,0.1,29.4,0.5,0.0,13.0,270.0,23,17.0,4.65,12,2
284.0,13.3,25.9,6.9,46.0,154.0,5.0,34,8.0,4.38,7,1
91.0,4.4,11.2,2.1,18.0,40.0,5.0,9,,4.8,5,3
314.0,16.7,31.5,12.0,64.0,338.0,5.0,12,12.0,3.83,11,2
290.0,0.0,75.0,0.0,0.0,9.0,55.0,15,8.0,4.38,6,2
188.0,4.7,36.9,2.1,19.0,186.0,10.0,16,,4.13,4,1
156.0,0.1,37.7,0.9,0.0,31.0,10080.0,139,119.0,4.35,96,11
301.0,0.6,46.6,1.9,0.0,22.0,195.0,9,,4.67,2,1
112.0,0.0,27.6,0.0,0.0,28.0,10.0,10,,4.67,8,2
128.0,0.1,32.5,0.4,0.0,11.0,,27,23.0,4.7,18,1
47.0,0.1,11.5,0.2,0.0,5.0,5.0,37,29.0,4.72,25,1
103.0,0.2,26.0,0.2,0.0,5.0,,47,35.0,4.63,30,1
91.0,0.1,23.3,0.3,0.0,3.0,,82,63.0,4.65,44,1
171.0,0.1,43.4,0.1,0.0,31.0,65.0,158,110.0,4.55,85,6
,,,,,,25.0,36,33.0,4.85,22,1
101.0,0.4,24.9,0.5,0.0,8.0,485.0,245,177.0,4.61,121,7
91.0,0.2,22.9,0.4,0.0,5.0,60.0,149,135.0,4.59,92,4
151.0,0.4,37.9,0.7,0.0,6.0,6.0,9,8.0,4.13,8,2
63.0,0.0,16.0,0.0,0.0,46.0,1.0,17,20.0,4.15,16,1
382.0,0.1,98.9,0.5,0.0,63.0,5.0,16,17.0,4.41,11,2
313.0,0.0,78.0,0.0,0.0,82.0,1.0,11,26.0,4.69,11,1
189.0,0.0,46.8,0.0,0.0,55.0,1.0,7,,4.5,7,1
180.0,0.1,43.9,1.2,0.0,31.0,10.0,12,6.0,4.67,6,2
263.0,0.6,63.6,4.3,1.0,45.0,5.0,9,11.0,3.45,7,5
204.0,2.2,44.9,5.2,3.0,85.0,15.0,24,8.0,4.5,6,3
306.0,5.4,55.6,10.4,20.0,135.0,10.0,22,12.0,3.33,11,4
178.0,0.8,45.4,2.3,0.0,47.0,10.0,20,17.0,3.88,14,3
280.0,3.0,45.6,22.0,6.0,192.0,10.0,64,22.0,4.77,18,7
,,,,,,5.0,10,,4.56,8,1
,,,,,,1.0,13,,4.71,11,3
140.0,0.5,33.2,1.8,0.0,19.0,5.0,20,10.0,3.5,7,3
181.0,1.3,42.3,1.3,3.0,32.0,5.0,6,,3.83,4,1
254.0,0.7,62.9,2.6,0.0,8.0,5.0,10,,4.0,7,2
461.0,3.8,99.5,8.6,15.0,82.0,5.0,24,20.0,4.25,18,1
95.0,0.1,24.2,0.6,0.0,1.0,180.0,96,95.0,4.36,77,8
183.0,1.4,40.7,2.9,5.0,31.0,5.0,98,78.0,4.37,56,15
170.0,7.4,24.2,2.9,29.0,54.0,5.0,8,,5.0,4,1
345.0,7.8,62.6,8.1,28.0,87.0,5.0,15,,4.67,6,2
167.0,8.9,18.0,3.8,28.0,20979.0,20.0,11,,4.6,5,2
310.0,5.7,60.7,5.2,22.0,103.0,10.0,13,,3.5,4,7
304.0,7.2,53.0,7.2,27.0,336.0,35.0,22,14.0,4.0,10,4
124.0,3.5,22.5,1.1,14.0,46.0,5.0,20,,4.86,12,1
420.0,14.1,59.4,14.3,57.0,211.0,5.0,12,12.0,4.25,11,2
126.0,4.7,14.0,4.8,19.0,67.0,5.0,31,28.0,3.68,23,2
309.0,20.4,22.2,10.1,79.0,145.0,10.0,22,24.0,3.88,23,2
358.0,30.1,15.4,7.9,99.0,116.0,5.0,42,31.0,4.45,24,4
222.0,10.2,26.2,6.1,25.0,173.0,10.0,52,31.0,4.45,22,8
486.0,14.9,80.2,10.0,31.0,141.0,15.0,145,135.0,4.59,103,15
,,,,,,2.0,33,31.0,4.84,28,1
582.0,24.2,75.7,17.4,55.0,517.0,5.0,47,31.0,4.23,22,6
201.0,7.4,22.1,10.5,157.0,119.0,5.0,377,241.0,4.24,212,14
142.0,8.8,10.7,5.1,89.0,111.0,260.0,38,29.0,4.62,23,1
108.0,3.9,11.1,6.4,15.0,109.0,5.0,40,41.0,4.12,34,2
187.0,8.2,16.5,11.7,199.0,137.0,150.0,78,51.0,4.16,44,2
249.0,12.9,24.2,9.5,140.0,139.0,,346,219.0,4.66,169,9
109.0,0.2,28.8,1.0,0.0,4.0,5.0,63,24.0,4.42,20,11
28.0,0.1,7.3,0.5,0.0,2.0,6.0,62,67.0,4.04,55,7
,,,,,,5.0,132,137.0,4.56,112,5
,,,,,,2.0,15,12.0,4.08,11,3
,,,,,,5.0,47,37.0,4.59,29,5
,,,,,,5.0,30,20.0,4.7,15,6
100.0,0.0,10.5,0.0,0.0,6.0,195.0,8,,4.5,2,2
136.0,0.1,10.5,0.4,0.0,1.0,14410.0,19,,5.0,3,6
,,,,,,10.0,9,,4.5,3,2
,,,,,,2.0,31,14.0,4.5,12,3
316.0,0.3,51.4,0.5,0.0,4.0,5.0,43,,4.76,17,9
,,,,,,5.0,67,44.0,4.5,37,5
,,,,,,10.0,33,18.0,3.94,16,2
,,,,,,10.0,25,24.0,4.0,17,2
72.0,0.1,19.3,0.2,0.0,8.0,10.0,68,57.0,3.65,49,3
